// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
4,18918,390//å°?ç«?é­?æ°????
4,18859,390//å¤©ä½¿æ³¢å?©æ°£???
4,18917,390//å¿?å¿???¸å?°æ°£???
4,18962,390//???ä»?
4,18914,490//??¡é??å°?è·????
4,5325,190//æ©?æ¢°é?»ç??
4,5376,390//?????¦æ?¡é??ç¿????
4,18522,390//??ªæ?¡ç????????è¡????å¸?
4,18601,490//ç´???²éºµ???å¸?
4,18600,490//è²???³è????·å¸½
4,18937,500//??????è¨????
4,5311,100//å¤§è????????
4,5654,100//ç´???²æ????®å¸½
4,5665,100//??©æ»¿ä¹?å¸?
4,5564,150//è©?æ¬ºç?????
4,18563,590//å¿????ç¾½ç¿¼é«®å¤¾
4,18891,190//???å£«å??å¸½å??
4,5518,390//å¤§å??å±±ç????­ç??
4,5585,390//??§æ?©ç¹©çµ?é«®å??
4,5584,390//??¡é??å±±ç????­ç??
4,5360,390//ä¿®å??å·´æ®·???é»?è²???³æ??
4,5359,390//é£?ç©ºè????¹é?·ä??å¸?
4,18729,490//MVPç±????å¸?
4,5497,490//??????å¸?
4,18934,520//?????¸è?³æ?µé?´é?ºé«®å¸?
4,18509,490//2010 RWC??¶ç??å¸?
4,5286,190//ä¸?å½©å¤§??´é³¥???ç¿????
4,18852,399
4,17084,49//å¼·å????¡å???????³å??ç®±å??
4,17085,49//å¼·å??????????§ç®±å­?
4,17086,49//å¼·å??é¨?å£«é?·ç??ç®±å??
4,17087,49//å¼·å????¸ç??
4,17088,49//å¼·å????ºæ?§é?????ç®±å??
4,17089,49//å¼·å??å¤§é????­å??ç®±å??
4,17090,49//å¼·å??å·¦è¼ª???æ§?ç®±å??
4,17091,49//å¼·å????µé??ç®±å??
4,17092,49//å¼·å??å¼?ç®±å??
4,17093,49//å¼·å????????å·¨å??ç®±å??
4,16305,49//å¼·å????µç?¾ç®±å­?
4,16309,49//å¼·å????¼ç?¾ç®±å­?
4,16311,49//å¼·å????·é?´ç®±å­?
4,16313,49//å¼·å????°å£«??·é?´ç®±å­?
4,16315,49//å¼·å???????´ç®±å­?
4,16317,49//å¼·å?????å¸½æ?«è?©ç®±å­?
4,16319,49//å¼·å????«è?©ç®±å­?
4,16321,49//å¼·å?????ç¯·ç®±å­?
4,16323,49//å¼·å??é«®å¤¾ç®±å??
4,16327,49//å¼·å???????ªè¡£ç®±å??
4,16329,49//å¼·å????·å¤§è¡?ç®±å??
4,16331,49//å¼·å???????·ä??è¡?ç®±å??
4,16335,49//å¼·å?????è³?ä¹?è¡?ç®±å??
4,16337,49//å¼·å????¼é?µé??å­???²ç®±å­?
4,16339,49//å¼·å??è¥¿è??å¤?å¥?ç®±å??
4,2720,390
4,2720,390
4,2720,390
4,2720,390
4,2720,390
4,2721,390
4,2722,390
4,2723,390
4,2724,390
4,2725,390

5,5914,520
5,5979,520
5,20062,520
5,20285,520
5,20435,520
5,20325,520
5,20240,520
5,20525,320
5,19871,320
5,20526,320
5,20502,320
5,20504,320
5,20737,320
5,20762,320
5,20764,320
5,31383,99
5,31575,99
5,31062,99
5,31063,99
5,31064,99
5,31065,99
5,31066,99
5,31067,99
5,31068,99
5,31069,99
5,31070,99
5,31210,99
5,31211,99
5,31212,99
5,31213,99
5,31214,99
5,31215,99
5,31216,99
5,31217,99
5,31226,99
5,31227,99
5,31228,99
5,31229,99
5,31230,99
5,31231,99
5,31232,99
5,31233,99
5,31406,99
5,31273,99
5,31274,99
5,31275,99
5,31276,99
5,31277,99
5,31278,99
5,20357,99
5,20358,99
5,20359,99
5,20360,99
5,20361,99
5,20362,99
5,20363,99
5,31279,99
5,31280,99
5,31281,99
5,31282,99
5,31283,99
5,31284,99
5,31285,99
5,31286,99
5,31287,99
5,31288,99
5,31079,99
5,31080,99
5,31081,99
5,31082,99
5,31083,99
5,31084,99
5,31085,99
5,31086,99
5,20255,99
5,31450,99
5,31405,99
5,31407,99
5,31329,99
5,31369,99
5,31370,99
5,31149,99
5,20798,99
5,31027,99
5,31028,99
5,31029,99
5,31033,99
5,31045,99
5,31052,99
5,31092,99
5,31120,99
5,31126,99
5,31136,99
5,31139,99
5,31141,99
5,31164,99
5,31165,99
5,31176,99
5,31177,99
5,31183,99
5,31185,99
5,31308,99
5,31309,99
5,31315,99
5,31331,99
5,31376,99
5,31379,99
5,31381,99
5,31390,99
5,31415,99
5,31439,99
5,31448,99
5,31451,99
5,31040,99
5,20499,99
5,31318,99
5,20279,99
5,20321,99
5,19954,99
5,20034,99
5,20113,99
5,20032,99
5,20324,99
5,20084,99
5,20098,99
5,20100,99
5,20112,99
5,20113,99
5,20116,99
5,20134,99
5,20192,99
5,20218,99
5,20256,99
5,20258,99
5,20259,99
5,20267,99
5,20328,99
5,20085,99
5,19972,99
5,20300,99
5,19959,99
5,20379,99
5,20117,99
5,20293,99
5,31166,99
5,19841,99
5,20288,99
5,19746,99
5,20299,99
5,19929,99
5,19827,99
5,19930,99
5,18740,99
5,20263,99
5,19825,99
5,19601,99
5,20217,99
5,19925,99
5,20266,99
5,20204,99
5,19936,99
5,20151,99
5,20196,99
5,20238,99
5,19602,99
5,20071,99
5,20269,99
5,31195,99
5,19712,99
5,19721,99
5,20200,99
5,19543,99
5,19544,99
5,19547,99
5,19546,99
5,19545,99
5,19549,99
5,19573,99
5,19576,99
5,19696,99
5,19718,99
5,19728,99
5,19823,99
5,19916,99
5,20014,99
5,19587,99
5,19649,99
5,19661,99
5,19678,99
5,19518,99
5,19507,99
5,19515,99
5,19522,99
5,18741,99
5,19542,99
5,19577,99
5,19607,99
5,19612,99
5,19650,99
5,19663,99
5,19695,99
5,19709,99
5,19718,99
5,19777,99
5,19804,99
5,19876,99
5,19922,99
5,19934,99
5,19977,99
5,19978,99
5,19979,99
5,19980,99
5,19988,99
5,19989,99
5,19991,99
5,19997,99
5,19998,99
5,20008,99
5,20014,99
5,20032,99
5,20033,99
5,20036,99
5,20047,99
5,20048,99
5,20075,99
5,19716,150
5,18743,290//å°???????å¹½é??
5,18744,320//è¶?ç´??????????è£?é£?
5,18742,320//???äº®è???????????è£?é£?
5,20746,320//???è£?-??¾å¤©ä½¿ä??ç¿?
5,20727,320//é»????ç¿????
5,19538,490//æ»¿æ??
6,607,20
6,608,5
6,604,10
6,12103,500
7,9088,999
7,9096,999
7,9116,999
7,9117,999
7,9111,9999
7,9112,9999
7,9115,9999
7,9121,9999
7,9122,9999
7,9126,9999
7,9137,9999


